Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.KneeFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.AnklePlantarFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.SubTalarEversion
  1.600000000000000e+00, -3.097901437587426e-01, -4.560973201286833e-02,  1.096338065214252e-02,  2.471222830465829e-01, -2.512615784340662e-01, -1.335282062049948e-01
  1.610000000000000e+00, -3.116574294775199e-01, -3.316053157136278e-02,  8.291974879474272e-03,  2.646817357379848e-01, -2.298380463249247e-01, -1.448759086920741e-01
  1.620000000000000e+00, -3.119418968682853e-01, -2.048913637785321e-02,  5.497396704467772e-03,  2.847134526445065e-01, -2.045733534282605e-01, -1.544286054427846e-01
  1.630000000000000e+00, -3.105130111287998e-01, -7.929929732281238e-03,  2.622376235031591e-03,  3.076660503858130e-01, -1.755493330313763e-01, -1.621311958465075e-01
  1.640000000000000e+00, -3.071859126998290e-01,  4.211193751031628e-03, -2.346552991858762e-04,  3.340133220089860e-01, -1.429935124297957e-01, -1.680421312602842e-01
  1.650000000000000e+00, -3.017147828372832e-01,  1.568932875556128e-02, -2.934278007327772e-03,  3.642197466327743e-01, -1.073197476377564e-01, -1.723013802040144e-01
  1.660000000000000e+00, -2.938034164350757e-01,  2.634358442593765e-02, -5.322515654558427e-03,  3.986922912789874e-01, -6.917461575348588e-02, -1.750702977350070e-01
  1.670000000000000e+00, -2.831417807222845e-01,  3.610598831757761e-02, -7.272442056003177e-03,  4.377190429170439e-01, -2.947539817131106e-02, -1.764539258356331e-01
  1.680000000000000e+00, -2.694624350542301e-01,  4.499283410975763e-02, -8.731150621526233e-03,  4.814040863545299e-01,  1.058074118752172e-02, -1.764325256112449e-01
  1.690000000000000e+00, -2.526040784385703e-01,  5.307781808674394e-02, -9.751493368168319e-03,  5.296131761203963e-01,  4.956112532336059e-02, -1.748370911322202e-01
  1.700000000000000e+00, -2.325653080568699e-01,  6.045211376243409e-02, -1.049063295288177e-02,  5.819451867670170e-01,  8.590875736556926e-02, -1.713889739334426e-01
  1.710000000000000e+00, -2.095302373282285e-01,  6.718499213573725e-02, -1.116933493847095e-02,  6.377412573091037e-01,  1.180994810270486e-01, -1.657936406481245e-01
  1.720000000000000e+00, -1.838533375492295e-01,  7.329783454998928e-02, -1.200692302411688e-02,  6.961347644220032e-01,  1.447982627230452e-01, -1.578452689075751e-01
  1.730000000000000e+00, -1.560056204956330e-01,  7.875589796952820e-02, -1.316027542097586e-02,  7.561310349548593e-01,  1.649821693766708e-01, -1.474913941102306e-01
  1.740000000000000e+00, -1.265001368902426e-01,  8.347803715466484e-02, -1.468799412683046e-02,  8.166940262624589e-01,  1.780315299541408e-01, -1.348379968382040e-01
  1.750000000000000e+00, -9.580955705037354e-02,  8.735796120454964e-02, -1.654733115061372e-02,  8.768192157604893e-01,  1.837944506007158e-01, -1.201137936980260e-01
  1.760000000000000e+00, -6.436704847024509e-02,  9.031367227856579e-02, -1.861047559951295e-02,  9.355630642820130e-01,  1.826285711127634e-01, -1.036380528895678e-01
  1.770000000000000e+00, -3.246818688490215e-02,  9.228063417059063e-02, -2.071621061127108e-02,  9.920817430291243e-01,  1.753321640830270e-01, -8.579819714344294e-02
  1.780000000000000e+00, -3.343681546923139e-04,  9.324033501154760e-02, -2.269731730911384e-02,  1.045625335324597e+00,  1.630316625828861e-01, -6.707537069635863e-02
  1.790000000000000e+00,  3.189065633051291e-02,  9.321173096493585e-02, -2.440874705504244e-02,  1.095551746167193e+00,  1.470023633592641e-01, -4.806938700402565e-02
  1.800000000000000e+00,  6.407717479312086e-02,  9.224962145746352e-02, -2.571332097939761e-02,  1.141321349597372e+00,  1.284993514922274e-01, -2.949866618914080e-02
  1.810000000000000e+00,  9.613859241171324e-02,  9.043887101990356e-02, -2.652285041418875e-02,  1.182517350551776e+00,  1.086358036827548e-01, -1.215404658038865e-02
  1.820000000000000e+00,  1.279885687118386e-01,  8.788714932695330e-02, -2.678222559727045e-02,  1.218830607725177e+00,  8.831453770162667e-02,  3.183078952520502e-03
  1.830000000000000e+00,  1.595322514451114e-01,  8.471527562836001e-02, -2.646339662152107e-02,  1.250045338468290e+00,  6.821619869002625e-02,  1.583897398030595e-02
  1.840000000000000e+00,  1.906607796941523e-01,  8.104905018582120e-02, -2.555009331292242e-02,  1.276019213690360e+00,  4.882834783791211e-02,  2.533740018349798e-02
  1.850000000000000e+00,  2.212506111648649e-01,  7.701217187874199e-02, -2.402624585355920e-02,  1.296663605895366e+00,  3.049373890662284e-02,  3.146078293937229e-02
  1.860000000000000e+00,  2.511624803647761e-01,  7.271855547381101e-02, -2.186931787009180e-02,  1.311926462261164e+00,  1.345274791984567e-02,  3.427423181172579e-02
  1.870000000000000e+00,  2.802322840095604e-01,  6.826668000147906e-02, -1.904399224221176e-02,  1.321778535055263e+00, -2.134003763338305e-03,  3.411489223064199e-02
  1.880000000000000e+00,  3.083244117397697e-01,  6.373905235182376e-02, -1.552473793687100e-02,  1.326220525738612e+00, -1.617579937721650e-02,  3.154863178865178e-02
  1.890000000000000e+00,  3.352862660992458e-01,  5.920376295144414e-02, -1.128073343819280e-02,  1.325267246876758e+00, -2.864921609880405e-02,  2.730859720806529e-02
  1.900000000000000e+00,  3.610104749250092e-01,  5.471921206997887e-02, -6.307257391583434e-03,  1.318959899842986e+00, -3.958806574288475e-02,  2.221221904173782e-02
  1.910000000000000e+00,  3.853803546363805e-01,  5.033900262621027e-02, -6.081173979778035e-04,  1.307350525338809e+00, -4.907370843020994e-02,  1.707943529003531e-02
  1.920000000000000e+00,  4.083329335323385e-01,  4.612024607824061e-02,  5.770843544184918e-03,  1.290515863931214e+00, -5.721313662918018e-02,  1.265130383733734e-02
  1.930000000000000e+00,  4.298073291285827e-01,  4.212905427835523e-02,  1.276198750419502e-02,  1.268541628693593e+00, -6.411686405026072e-02,  9.528303185970250e-03
  1.940000000000000e+00,  4.497485688941164e-01,  3.844367987172137e-02,  2.027795066166597e-02,  1.241519717231204e+00, -6.987482679005101e-02,  8.125292896128986e-03
  1.950000000000000e+00,  4.681004455412344e-01,  3.515158485502101e-02,  2.822256080649412e-02,  1.209543663830955e+00, -7.453984627840575e-02,  8.650452963931216e-03
  1.960000000000000e+00,  4.847980615035301e-01,  3.234075998815178e-02,  3.650042884372155e-02,  1.172706027676855e+00, -7.811972277964632e-02,  1.110673971570589e-02
  1.970000000000000e+00,  4.997614816980807e-01,  3.008988859166406e-02,  4.502325999276933e-02,  1.131099477311665e+00, -8.057963209082489e-02,  1.531041310615515e-02
  1.980000000000000e+00,  5.128947386403611e-01,  2.846197955229135e-02,  5.371405260250423e-02,  1.084823633778156e+00, -8.185063138490109e-02,  2.092526297915296e-02
  1.990000000000000e+00,  5.240900394246406e-01,  2.750178214684440e-02,  6.251115608574383e-02,  1.033996642955265e+00, -8.183728713611400e-02,  2.751420425363537e-02
  2.000000000000000e+00,  5.332308694294421e-01,  2.723631837695040e-02,  7.137473783623705e-02,  9.787689921050832e-01, -8.042842211111786e-02,  3.459746193977708e-02
  2.010000000000000e+00,  5.401921059242389e-01,  2.767939042661216e-02,  8.029418863269330e-02,  9.193417838391207e-01, -7.751610179570285e-02,  4.169364162842915e-02
  2.020000000000000e+00,  5.448438337682040e-01,  2.883956659783471e-02,  8.928972076559329e-02,  8.559965965228545e-01, -7.301486247886196e-02,  4.832990773394105e-02
  2.030000000000000e+00,  5.470665262533113e-01,  3.072889532676792e-02,  9.840522914188436e-02,  7.891418613806943e-01, -6.687425248682066e-02,  5.403524624933391e-02
  2.040000000000000e+00,  5.467811314981924e-01,  3.336899320977760e-02,  1.076970117238487e-01,  7.193747475312633e-01, -5.909284368102414e-02,  5.834257213276973e-02
  2.050000000000000e+00,  5.439932432539987e-01,  3.679135326192262e-02,  1.172255716984017e-01,  6.475533699205747e-01, -4.974423954628714e-02,  6.080644588726519e-02
  2.060000000000000e+00,  5.388479901149190e-01,  4.102827016797961e-02,  1.270575991671926e-01,  5.748677171749598e-01, -3.901555233118279e-02,  6.102301095394647e-02
  2.070000000000000e+00,  5.316860318536137e-01,  4.608816380449543e-02,  1.372806125072657e-01,  5.028825563374824e-01, -2.725127381961019e-02,  5.864016163810108e-02
  2.080000000000000e+00,  5.230729329274884e-01,  5.190848159305728e-02,  1.480153198574754e-01,  4.335058011453553e-01, -1.498388898987342e-02,  5.337208238188718e-02
  2.090000000000000e+00,  5.137598620489767e-01,  5.829238877937426e-02,  1.593830428340444e-01,  3.688327031903215e-01, -2.915885367887307e-03,  4.507870019646660e-02
  2.100000000000000e+00,  5.045570762500213e-01,  6.486552506062937e-02,  1.713869120941490e-01,  3.108636863852752e-01,  8.174003878298882e-03,  3.397121467765667e-02
  2.110000000000000e+00,  4.961659166598485e-01,  7.110504802734541e-02,  1.837515446769735e-01,  2.611916964312894e-01,  1.757981800724904e-02,  2.087168194908224e-02
  2.120000000000000e+00,  4.890594930614319e-01,  7.644882543640263e-02,  1.958710044406560e-01,  2.208114027399206e-01,  2.481175065225863e-02,  7.290671859840177e-03
  2.130000000000000e+00,  4.834666525712007e-01,  8.041923177016486e-02,  2.069554686676674e-01,  1.901206561891112e-01,  2.968893963811473e-02, -4.833966916386006e-03
  2.140000000000000e+00,  4.794339691367491e-01,  8.268941846411870e-02,  2.162754606309432e-01,  1.690398874975975e-01,  3.237797763028434e-02, -1.360065579401156e-02
  2.150000000000000e+00,  4.769012637963413e-01,  8.308297086890071e-02,  2.233402268417657e-01,  1.571307333669498e-01,  3.338380602932386e-02, -1.754261211779847e-02
  2.160000000000000e+00,  4.757472790751632e-01,  8.154398492251591e-02,  2.279581871887236e-01,  1.536623247051140e-01,  3.348594366079024e-02, -1.583552909767277e-02
  2.170000000000000e+00,  4.757999161678869e-01,  7.811067612634459e-02,  2.302173667516028e-01,  1.576430045539722e-01,  3.361146464023892e-02, -8.346190150236353e-03
  2.180000000000000e+00,  4.768233746556144e-01,  7.290223704638477e-02,  2.304100983741168e-01,  1.678520876010297e-01,  3.465398908410663e-02,  4.427147259976807e-03
  2.190000000000000e+00,  4.784955066356366e-01,  6.611163823180743e-02,  2.289068647553526e-01,  1.828964046200159e-01,  3.727489789692861e-02,  2.150204664858058e-02
  2.200000000000000e+00,  4.803940594858241e-01,  5.799428847199528e-02,  2.260398290737252e-01,  2.013062104320529e-01,  4.175291434942093e-02,  4.160377071232597e-02
  2.210000000000000e+00,  4.820159013111498e-01,  4.885204369356111e-02,  2.220922995584732e-01,  2.216593760740261e-01,  4.794371921833685e-02,  6.333340166977161e-02
  2.220000000000000e+00,  4.828330690784458e-01,  3.901491700342019e-02,  2.173744669561951e-01,  2.426827156119393e-01,  5.533770724544448e-02,  8.531186643133667e-02
  2.230000000000000e+00,  4.823613513262131e-01,  2.881192504192120e-02,  2.122544537106040e-01,  2.632899478613995e-01,  6.315301860366827e-02,  1.063546172457749e-01
  2.240000000000000e+00,  4.802197247728419e-01,  1.852823911444901e-02,  2.071079337767461e-01,  2.825848438462835e-01,  7.044817946806496e-02,  1.256236942693536e-01
  2.250000000000000e+00,  4.761719105607151e-01,  8.368024725318168e-03,  2.022635157020376e-01,  2.998789867424293e-01,  7.627041377764830e-02,  1.426314556447930e-01
  2.260000000000000e+00,  4.701381003714631e-01, -1.558757053117921e-03,  1.979798558218470e-01,  3.147175877298802e-01,  7.981260388037927e-02,  1.571162606751519e-01
  2.270000000000000e+00,  4.621686454143520e-01, -1.122528514914722e-02,  1.944347818008862e-01,  3.268734164425620e-01,  8.053170399775739e-02,  1.689359802378253e-01
  2.280000000000000e+00,  4.523923091386095e-01, -2.065851122996665e-02,  1.917201759831024e-01,  3.362989855302274e-01,  7.820826895967990e-02,  1.780480711517017e-01
  2.290000000000000e+00,  4.409649898663853e-01, -2.989920317275385e-02,  1.898479205229629e-01,  3.430624796705953e-01,  7.294291655000000e-02,  1.845242087354358e-01
  2.300000000000000e+00,  4.280381558913092e-01, -3.896484691759738e-02,  1.887604352794350e-01,  3.472941974928812e-01,  6.509382286454188e-02,  1.885386333465989e-01
  2.310000000000000e+00,  4.137497246193679e-01, -4.782860698657387e-02,  1.883383463592009e-01,  3.491535204616837e-01,  5.518030951020882e-02,  1.903314370641264e-01
  2.320000000000000e+00,  3.982273910613055e-01, -5.641839314571762e-02,  1.884086006412948e-01,  3.488143811264996e-01,  4.378632055030845e-02,  1.901770289529484e-01
  2.330000000000000e+00,  3.815929349422131e-01, -6.463088807324691e-02,  1.887582068661552e-01,  3.464626390488999e-01,  3.148426030882012e-02,  1.883670636258975e-01
  2.340000000000000e+00,  3.639626035536934e-01, -7.235305361118538e-02,  1.891548427978541e-01,  3.422963227746073e-01,  1.878494853987341e-02,  1.852002778533424e-01
  2.350000000000000e+00,  3.454455431418123e-01, -7.948550448961811e-02,  1.893727739084824e-01,  3.365208031726232e-01,  6.111862734484227e-03,  1.809748789554746e-01
  2.360000000000000e+00,  3.261444089453273e-01, -8.596180238404982e-02,  1.892183782969145e-01,  3.293384328417734e-01, -6.206816929374671e-03,  1.759783153837424e-01
  2.370000000000000e+00,  3.061586117992129e-01, -9.175700161719980e-02,  1.885493253334551e-01,  3.209389594982479e-01, -1.793662197633626e-02,  1.704674318875131e-01
  2.380000000000000e+00,  2.855878149799455e-01, -9.688341088267993e-02,  1.872848087425598e-01,  3.114959838580160e-01, -2.893044342862051e-02,  1.646431332652273e-01
  2.390000000000000e+00,  2.645332233071352e-01, -1.013785557193974e-01,  1.854050338374502e-01,  3.011691231486454e-01, -3.911740157722670e-02,  1.586350255184598e-01
  2.400000000000000e+00,  2.430944730244306e-01, -1.052922871309858e-01,  1.829389363495860e-01,  2.901082559924070e-01, -4.848725919614347e-02,  1.525072911361366e-01
  2.410000000000000e+00,  2.213650414301986e-01, -1.086762157571837e-01,  1.799423224395722e-01,  2.784580355055186e-01, -5.707448119332591e-02,  1.462825198207694e-01
  2.420000000000000e+00,  1.994317824158982e-01, -1.115758922815657e-01,  1.764731118769360e-01,  2.663626148237920e-01, -6.494589794558094e-02,  1.399709259447638e-01
  2.430000000000000e+00,  1.773770026716607e-01, -1.140271601851950e-01,  1.725729052973739e-01,  2.539681814027817e-01, -7.219135972369629e-02,  1.335955273164127e-01
  2.440000000000000e+00,  1.552710075483583e-01, -1.160569140767753e-01,  1.682588456618264e-01,  2.414198609019734e-01, -7.891499421355481e-02,  1.272095105898207e-01
  2.450000000000000e+00,  1.332019074412908e-01, -1.176893029935546e-01,  1.635353160070280e-01,  2.288632207896518e-01, -8.522740030902598e-02,  1.209072165381377e-01
  2.460000000000000e+00,  1.112316527010982e-01, -1.189456303007328e-01,  1.583950130932449e-01,  2.164335457468133e-01, -9.124080869787080e-02,  1.148136472581286e-01
  2.470000000000000e+00,  8.942387219624065e-02, -1.198468672196100e-01,  1.528401788722868e-01,  2.042573438966950e-01, -9.706643824334432e-02,  1.090676897396676e-01
  2.480000000000000e+00,  6.784268056144301e-02, -1.204141999465598e-01,  1.468962159609672e-01,  1.924485904615031e-01, -1.028125056819302e-01,  1.037979041533176e-01
  2.490000000000000e+00,  4.652060881432659e-02, -1.206630690017658e-01,  1.406071709842726e-01,  1.811025062865194e-01, -1.085813947681486e-01,  9.910073811861990e-02
  2.500000000000000e+00,  2.551597679773791e-02, -1.206117341106223e-01,  1.340439425866828e-01,  1.703081978736404e-01, -1.144700337137792e-01,  9.503458103243738e-02
